id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kawin,jumlah_penduduk,satuan,tahun
426,32,JAWA BARAT,3279,KOTA BANJAR,CERAI HIDUP,5778,JIWA,2016
427,32,JAWA BARAT,3279,KOTA BANJAR,CERAI MATI,11341,JIWA,2016
428,32,JAWA BARAT,3279,KOTA BANJAR,KAWIN,100018,JIWA,2016
429,32,JAWA BARAT,3201,KABUPATEN BOGOR,BELUM KAWIN,1954774,JIWA,2017
430,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI HIDUP,52381,JIWA,2017
431,32,JAWA BARAT,3201,KABUPATEN BOGOR,CERAI MATI,128878,JIWA,2017
432,32,JAWA BARAT,3201,KABUPATEN BOGOR,KAWIN,2221862,JIWA,2017
433,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BELUM KAWIN,1123977,JIWA,2017
434,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI HIDUP,54935,JIWA,2017
435,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CERAI MATI,78595,JIWA,2017
436,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KAWIN,1279101,JIWA,2017
437,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BELUM KAWIN,999084,JIWA,2017
438,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI HIDUP,43386,JIWA,2017
439,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CERAI MATI,71585,JIWA,2017
440,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KAWIN,1136428,JIWA,2017
441,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BELUM KAWIN,1626761,JIWA,2017
442,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI HIDUP,48188,JIWA,2017
443,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CERAI MATI,93035,JIWA,2017
444,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KAWIN,1757165,JIWA,2017
445,32,JAWA BARAT,3205,KABUPATEN GARUT,BELUM KAWIN,1038137,JIWA,2017
446,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI HIDUP,30362,JIWA,2017
447,32,JAWA BARAT,3205,KABUPATEN GARUT,CERAI MATI,71318,JIWA,2017
448,32,JAWA BARAT,3205,KABUPATEN GARUT,KAWIN,1081993,JIWA,2017
449,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BELUM KAWIN,738429,JIWA,2017
450,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI HIDUP,35975,JIWA,2017
451,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CERAI MATI,62477,JIWA,2017
452,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KAWIN,896340,JIWA,2017
453,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BELUM KAWIN,487316,JIWA,2017
454,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CERAI HIDUP,19528,JIWA,2017
455,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CERAI MATI,60776,JIWA,2017
456,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KAWIN,662257,JIWA,2017
457,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BELUM KAWIN,484044,JIWA,2017
458,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CERAI HIDUP,15262,JIWA,2017
459,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CERAI MATI,49493,JIWA,2017
460,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KAWIN,588658,JIWA,2017
461,32,JAWA BARAT,3209,KABUPATEN CIREBON,BELUM KAWIN,922561,JIWA,2017
462,32,JAWA BARAT,3209,KABUPATEN CIREBON,CERAI HIDUP,30743,JIWA,2017
463,32,JAWA BARAT,3209,KABUPATEN CIREBON,CERAI MATI,84354,JIWA,2017
464,32,JAWA BARAT,3209,KABUPATEN CIREBON,KAWIN,1062640,JIWA,2017
465,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BELUM KAWIN,512640,JIWA,2017
466,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CERAI HIDUP,24636,JIWA,2017
467,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CERAI MATI,50641,JIWA,2017
468,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KAWIN,681292,JIWA,2017
469,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BELUM KAWIN,461545,JIWA,2017
470,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CERAI HIDUP,21682,JIWA,2017
471,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CERAI MATI,47943,JIWA,2017
472,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KAWIN,608360,JIWA,2017
473,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BELUM KAWIN,833434,JIWA,2017
474,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CERAI HIDUP,25616,JIWA,2017
475,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CERAI MATI,76917,JIWA,2017
476,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KAWIN,914725,JIWA,2017
477,32,JAWA BARAT,3213,KABUPATEN SUBANG,BELUM KAWIN,636396,JIWA,2017
478,32,JAWA BARAT,3213,KABUPATEN SUBANG,CERAI HIDUP,24926,JIWA,2017
479,32,JAWA BARAT,3213,KABUPATEN SUBANG,CERAI MATI,59389,JIWA,2017
480,32,JAWA BARAT,3213,KABUPATEN SUBANG,KAWIN,834327,JIWA,2017
481,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BELUM KAWIN,394827,JIWA,2017
482,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CERAI HIDUP,18734,JIWA,2017
483,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CERAI MATI,38778,JIWA,2017
484,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KAWIN,466026,JIWA,2017
485,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BELUM KAWIN,859397,JIWA,2017
